(7, 9)
(7, 10)
(7, 11)
(7, 12)
(7, 13)
(8, 13)
(9, 13)
(10, 13)
(11, 13)
(11, 12)
(12, 13)
(11, 11)
(13, 13)
(12, 11)
(10, 11)
(14, 13)
(13, 11)
(9, 11)
(15, 13)
(14, 11)
(9, 10)
(16, 13)
(14, 10)
(9, 9)
(17, 13)
(14, 9)
(9, 8)
(18, 13)
(15, 9)
(13, 9)
(9, 7)
(19, 13)
(15, 8)
(16, 9)
(12, 9)
(10, 7)
(8, 7)
(19, 12)
(20, 13)
(15, 7)
(16, 10)
(11, 9)
(11, 7)
(7, 7)
(19, 11)
(21, 13)
(16, 7)
(14, 7)
(16, 11)
(11, 8)
(11, 6)
(6, 7)
(20, 11)
(18, 11)
(22, 13)
(17, 7)
(13, 7)
(17, 11)
(11, 5)
(5, 7)
(21, 11)
(23, 13)
(12, 5)
(5, 8)
(5, 6)
(21, 10)
(23, 12)
(13, 5)
(5, 9)
(5, 5)
(21, 9)
(22, 10)
